run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
republish-leg,1,1000,154,1788849935822176,1788849937788874,1966698
republish-leg,1,1000,155,1788849936822176,1788849938790805,1968629
republish-leg,1,1000,156,1788849937822176,1788849939793410,1971234
republish-leg,1,1000,157,1788849938822176,1788849940795389,1973213
republish-leg,1,1000,158,1788849939822176,1788849941809491,1987315
republish-leg,1,1000,159,1788849940822176,1788849942824317,2002141
republish-leg,1,1000,160,1788849941822176,1788849943825835,2003659
republish-leg,1,1000,161,1788849942822176,1788849944827482,2005306
republish-leg,1,1000,162,1788849943822176,1788849945829907,2007731
republish-leg,1,1000,163,1788849944822176,1788849946846024,2023848
republish-leg,1,1000,164,1788849945822176,1788849947862364,2040188
republish-leg,1,1000,165,1788849946822176,1788849948864059,2041883
republish-leg,1,1000,166,1788849947822176,1788849949878215,2056039
republish-leg,1,1000,167,1788849948822176,1788849950894004,2071828
republish-leg,1,1000,168,1788849949822176,1788849951906539,2084363
republish-leg,1,1000,169,1788849950822176,1788849952920953,2098777
republish-leg,1,1000,170,1788849951822176,1788849953923099,2100923
republish-leg,1,1000,171,1788849952822176,1788849954937249,2115073
republish-leg,1,1000,172,1788849953822176,1788849955938678,2116502
republish-leg,1,1000,173,1788849954822176,1788849956955905,2133729
republish-leg,1,1000,174,1788849955822176,1788849957971875,2149699
republish-leg,1,1000,175,1788849956822176,1788849958974580,2152404
republish-leg,1,1000,176,1788849957822176,1788849959976902,2154726
republish-leg,1,1000,177,1788849958822176,1788849960991524,2169348
republish-leg,1,1000,178,1788849959822176,1788849962002072,2179896
republish-leg,1,1000,179,1788849960822176,1788849963015487,2193311
republish-leg,1,1000,180,1788849961822176,1788849964020963,2198787
republish-leg,1,1000,181,1788849962822176,1788849965023713,2201537
republish-leg,1,1000,182,1788849963822176,1788849966037204,2215028
republish-leg,1,1000,183,1788849964822176,1788849967050150,2227974
republish-leg,1,1000,184,1788849965822176,1788849968051508,2229332
republish-leg,1,1000,185,1788849966822176,1788849969067674,2245498
republish-leg,1,1000,186,1788849967822176,1788849970081116,2258940
republish-leg,1,1000,187,1788849968822176,1788849971097548,2275372
republish-leg,1,1000,188,1788849969822176,1788849972098841,2276665
republish-leg,1,1000,189,1788849970822176,1788849973109467,2287291
republish-leg,1,1000,190,1788849971822176,1788849974111869,2289693
republish-leg,1,1000,191,1788849972822176,1788849975126516,2304340
republish-leg,1,1000,192,1788849973822176,1788849976142000,2319824
republish-leg,1,1000,193,1788849974822176,1788849977152650,2330474
republish-leg,1,1000,194,1788849975822176,1788849978160090,2337914
republish-leg,1,1000,195,1788849976822176,1788849979173032,2350856
republish-leg,1,1000,196,1788849977822176,1788849980185086,2362910
republish-leg,1,1000,197,1788849978822176,1788849981187330,2365154
republish-leg,1,1000,198,1788849979822176,1788849982188979,2366803
republish-leg,1,1000,199,1788849980822176,1788849983203204,2381028
republish-leg,1,1000,200,1788849981822176,1788849984204562,2382386
republish-leg,1,1000,201,1788849982822176,1788849985205498,2383322
republish-leg,1,1000,202,1788849983822176,1788849986218022,2395846
republish-leg,1,1000,203,1788849984822176,1788849987221475,2399299
republish-leg,1,1000,204,1788849985822176,1788849988224259,2402083
republish-leg,1,1000,205,1788849986822176,1788849989228594,2406418
republish-leg,1,1000,206,1788849987822176,1788849990243070,2420894
republish-leg,1,1000,207,1788849988822176,1788849991257288,2435112
republish-leg,1,1000,208,1788849989822176,1788849992271455,2449279
republish-leg,1,1000,209,1788849990822176,1788849993272952,2450776
