run_id,mode,bucket_ms,sequence,run_start_micros,scheduled_at_micros,fired_at_micros,drift_micros
catchup-leg,3,100,140,1789102499927387,1789102514027387,1789102514030054,2667
catchup-leg,3,100,141,1789102499927387,1789102514127387,1789102514138633,11246
catchup-leg,3,100,142,1789102499927387,1789102514227387,1789102514233338,5951
catchup-leg,3,100,143,1789102499927387,1789102514327387,1789102514343038,15651
catchup-leg,3,100,144,1789102499927387,1789102514427387,1789102514437130,9743
catchup-leg,3,100,145,1789102499927387,1789102514527387,1789102514529792,2405
catchup-leg,3,100,146,1789102499927387,1789102514627387,1789102514639543,12156
catchup-leg,3,100,147,1789102499927387,1789102514727387,1789102514732353,4966
catchup-leg,3,100,148,1789102499927387,1789102514827387,1789102514840878,13491
catchup-leg,3,100,149,1789102499927387,1789102514927387,1789102514933420,6033
catchup-leg,3,100,150,1789102499927387,1789102515027387,1789102515042091,14704
catchup-leg,3,100,151,1789102499927387,1789102515127387,1789102515136445,9058
catchup-leg,3,100,152,1789102499927387,1789102515227387,1789102515229347,1960
catchup-leg,3,100,153,1789102499927387,1789102515327387,1789102515340296,12909
catchup-leg,3,100,154,1789102499927387,1789102515427387,1789102515434754,7367
catchup-leg,3,100,155,1789102499927387,1789102515527387,1789102515543425,16038
catchup-leg,3,100,156,1789102499927387,1789102515627387,1789102515637663,10276
catchup-leg,3,100,157,1789102499927387,1789102515727387,1789102515732315,4928
catchup-leg,3,100,158,1789102499927387,1789102515827387,1789102515841420,14033
catchup-leg,3,100,159,1789102499927387,1789102515927387,1789102515934500,7113
catchup-leg,3,100,160,1789102499927387,1789102516027387,1789102516042810,15423
catchup-leg,3,100,161,1789102499927387,1789102516127387,1789102516136150,8763
catchup-leg,3,100,162,1789102499927387,1789102516227387,1789102516229241,1854
catchup-leg,3,100,163,1789102499927387,1789102516327387,1789102516338321,10934
catchup-leg,3,100,164,1789102499927387,1789102516427387,1789102516431581,4194
catchup-leg,3,100,165,1789102499927387,1789102516527387,1789102516539285,11898
catchup-leg,3,100,166,1789102499927387,1789102516627387,1789102516630857,3470
catchup-leg,3,100,167,1789102499927387,1789102516727387,1789102516742113,14726
catchup-leg,3,100,168,1789102499927387,1789102516827387,1789102516835244,7857
catchup-leg,3,100,169,1789102499927387,1789102516927387,1789102516942010,14623
catchup-leg,3,100,170,1789102499927387,1789102517027387,1789102517035006,7619
catchup-leg,3,100,171,1789102499927387,1789102517127387,1789102517143794,16407
catchup-leg,3,100,172,1789102499927387,1789102517227387,1789102517237372,9985
catchup-leg,3,100,173,1789102499927387,1789102517327387,1789102517330758,3371
catchup-leg,3,100,174,1789102499927387,1789102517427387,1789102517440494,13107
catchup-leg,3,100,175,1789102499927387,1789102517527387,1789102517534222,6835
catchup-leg,3,100,176,1789102499927387,1789102517627387,1789102517641265,13878
catchup-leg,3,100,177,1789102499927387,1789102517727387,1789102517733677,6290
catchup-leg,3,100,178,1789102499927387,1789102517827387,1789102517843605,16218
catchup-leg,3,100,179,1789102499927387,1789102517927387,1789102517937193,9806
catchup-leg,3,100,180,1789102499927387,1789102518027387,1789102518031219,3832
catchup-leg,3,100,181,1789102499927387,1789102518127387,1789102518141037,13650
catchup-leg,3,100,182,1789102499927387,1789102518227387,1789102518233857,6470
catchup-leg,3,100,183,1789102499927387,1789102518327387,1789102518343313,15926
catchup-leg,3,100,184,1789102499927387,1789102518427387,1789102518437045,9658
catchup-leg,3,100,185,1789102499927387,1789102518527387,1789102518529390,2003
catchup-leg,3,100,186,1789102499927387,1789102518627387,1789102518639033,11646
catchup-leg,3,100,187,1789102499927387,1789102518727387,1789102518732891,5504
catchup-leg,3,100,188,1789102499927387,1789102518827387,1789102518841923,14536
catchup-leg,3,100,189,1789102499927387,1789102518927387,1789102518935648,8261
catchup-leg,3,100,190,1789102499927387,1789102519027387,1789102519030193,2806
catchup-leg,3,100,191,1789102499927387,1789102519127387,1789102519139782,12395
catchup-leg,3,100,192,1789102499927387,1789102519227387,1789102519231437,4050
catchup-leg,3,100,193,1789102499927387,1789102519327387,1789102519340782,13395
catchup-leg,3,100,194,1789102499927387,1789102519427387,1789102519434280,6893
catchup-leg,3,100,195,1789102499927387,1789102519527387,1789102519541694,14307
catchup-leg,3,100,196,1789102499927387,1789102519627387,1789102519635117,7730
catchup-leg,3,100,197,1789102499927387,1789102519727387,1789102519728939,1552
catchup-leg,3,100,198,1789102499927387,1789102519827387,1789102519838179,10792
catchup-leg,3,100,199,1789102499927387,1789102519927387,1789102519930993,3606
catchup-leg,3,100,200,1789102499927387,1789102520027387,1789102520038547,11160
catchup-leg,3,100,201,1789102499927387,1789102520127387,1789102520132050,4663
catchup-leg,3,100,202,1789102499927387,1789102520227387,1789102520240057,12670
catchup-leg,3,100,203,1789102499927387,1789102520327387,1789102520334070,6683
catchup-leg,3,100,204,1789102499927387,1789102520427387,1789102520428863,1476
catchup-leg,3,100,205,1789102499927387,1789102520527387,1789102520538355,10968
catchup-leg,3,100,206,1789102499927387,1789102520627387,1789102520631851,4464
catchup-leg,3,100,207,1789102499927387,1789102520727387,1789102520740787,13400
catchup-leg,3,100,208,1789102499927387,1789102520827387,1789102520835065,7678
catchup-leg,3,100,209,1789102499927387,1789102520927387,1789102520928748,1361
catchup-leg,3,100,210,1789102499927387,1789102521027387,1789102521036375,8988
catchup-leg,3,100,211,1789102499927387,1789102521127387,1789102521143503,16116
catchup-leg,3,100,212,1789102499927387,1789102521227387,1789102521236072,8685
catchup-leg,3,100,213,1789102499927387,1789102521327387,1789102521330101,2714
catchup-leg,3,100,214,1789102499927387,1789102521427387,1789102521440537,13150
catchup-leg,3,100,215,1789102499927387,1789102521527387,1789102521533543,6156
catchup-leg,3,100,216,1789102499927387,1789102521627387,1789102521643138,15751
catchup-leg,3,100,217,1789102499927387,1789102521727387,1789102521735119,7732
catchup-leg,3,100,218,1789102499927387,1789102521827387,1789102521829812,2425
catchup-leg,3,100,219,1789102499927387,1789102521927387,1789102521938098,10711
catchup-leg,3,100,220,1789102499927387,1789102522027387,1789102522031083,3696
catchup-leg,3,100,221,1789102499927387,1789102522127387,1789102522141437,14050
catchup-leg,3,100,222,1789102499927387,1789102522227387,1789102522234941,7554
catchup-leg,3,100,223,1789102499927387,1789102522327387,1789102522342930,15543
catchup-leg,3,100,224,1789102499927387,1789102522427387,1789102522435671,8284
catchup-leg,3,100,225,1789102499927387,1789102522527387,1789102522530386,2999
catchup-leg,3,100,226,1789102499927387,1789102522627387,1789102522640041,12654
catchup-leg,3,100,227,1789102499927387,1789102522727387,1789102522733877,6490
catchup-leg,3,100,228,1789102499927387,1789102522827387,1789102522843487,16100
catchup-leg,3,100,229,1789102499927387,1789102522927387,1789102522935452,8065
catchup-leg,3,100,230,1789102499927387,1789102523027387,1789102523029597,2210
catchup-leg,3,100,231,1789102499927387,1789102523127387,1789102523138838,11451
catchup-leg,3,100,232,1789102499927387,1789102523227387,1789102523232065,4678
catchup-leg,3,100,233,1789102499927387,1789102523327387,1789102523341453,14066
catchup-leg,3,100,234,1789102499927387,1789102523427387,1789102523435267,7880
catchup-leg,3,100,235,1789102499927387,1789102523527387,1789102523528822,1435
catchup-leg,3,100,236,1789102499927387,1789102523627387,1789102523638060,10673
catchup-leg,3,100,237,1789102499927387,1789102523727387,1789102523731380,3993
catchup-leg,3,100,238,1789102499927387,1789102523827387,1789102523840148,12761
catchup-leg,3,100,239,1789102499927387,1789102523927387,1789102523934734,7347
catchup-leg,3,100,240,1789102499927387,1789102524027387,1789102524042982,15595
catchup-leg,3,100,241,1789102499927387,1789102524127387,1789102524137027,9640
catchup-leg,3,100,242,1789102499927387,1789102524227387,1789102524230006,2619
catchup-leg,3,100,243,1789102499927387,1789102524327387,1789102524338457,11070
catchup-leg,3,100,244,1789102499927387,1789102524427387,1789102524432273,4886
catchup-leg,3,100,245,1789102499927387,1789102524527387,1789102524541595,14208
catchup-leg,3,100,246,1789102499927387,1789102524627387,1789102524634517,7130
catchup-leg,3,100,247,1789102499927387,1789102524727387,1789102524743747,16360
catchup-leg,3,100,248,1789102499927387,1789102524827387,1789102524836581,9194
